user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,sleep_quality_norm,sleep_duration_norm,mental_fatigue_norm,stress_level_norm,mri_additive,mri,age_group,notification_group,mri_multiplicative,mri_zscore,mri_weighted
1,56,Female,Designer,3.26,86,5.31,7.72,3.49,0,35,119,3.57,0.7466666666666666,0.2619999999999999,0.28555555555555556,0.27666666666666667,0.11161111111111109,0.11161111111111109,50-70,Medium,3.290168789578868,0.6283132171670048,0.21438888888888885
2,46,Female,Teacher,1.85,32,7.36,9.7,3.01,0,16,299,1.91,0.9666666666666666,0.672,0.1011111111111111,0.2233333333333333,0.3285555555555555,0.3285555555555555,35-50,High,12.417943678140928,1.4655992844233756,0.4414444444444444
3,32,Female,Designer,3.04,107,4.5,6.38,5.03,0,17,21,6.05,0.5977777777777777,0.1,0.5611111111111111,0.44777777777777783,-0.0777777777777778,-0.0777777777777778,20-35,Low,0.9434303271281402,-0.07367082105838427,0.0324444444444444
4,25,Male,Software Engineer,9.0,36,6.68,5.53,10.0,0,3,220,9.92,0.5033333333333334,0.5359999999999999,0.991111111111111,1.0,-0.2379444444444444,-0.2379444444444444,20-35,High,0.372383064516129,-0.6287619029002871,-0.08805555555555553
5,38,Female,Teacher,3.52,56,7.57,6.69,6.71,4,92,167,5.99,0.6322222222222222,0.7140000000000001,0.5544444444444445,0.6344444444444445,0.03933333333333336,0.03933333333333336,35-50,Medium,1.260006120483966,0.3526169652282987,0.16199999999999995
6,56,Male,Teacher,7.26,10,7.79,6.16,10.0,2,50,198,7.85,0.5733333333333334,0.758,0.7611111111111111,1.0,-0.10744444444444445,-0.10744444444444445,50-70,Medium,0.611291719745223,-0.1563004872348348,0.03794444444444442
7,36,Female,Teacher,4.56,83,6.81,6.81,5.38,0,19,39,5.52,0.6455555555555555,0.5619999999999999,0.5022222222222221,0.48666666666666664,0.05466666666666668,0.05466666666666668,35-50,Low,1.561611039275901,0.4033005219268704,0.16866666666666663
8,40,Male,Manager,3.36,89,6.5,8.75,3.48,2,66,127,4.5,0.8611111111111112,0.5,0.3888888888888889,0.27555555555555555,0.1741666666666667,0.1741666666666667,35-50,Medium,3.6318646232439336,0.8991298910176362,0.2935
9,28,Male,Student,2.3,109,7.57,8.05,3.46,3,103,99,2.52,0.7833333333333334,0.7140000000000001,0.1688888888888889,0.2733333333333333,0.2637777777777779,0.2637777777777779,20-35,Low,6.989001284521516,1.1642548909557975,0.3642222222222222
10,28,Female,Manager,9.75,46,4.73,5.52,10.0,3,56,121,10.0,0.5022222222222221,0.14600000000000007,1.0,1.0,-0.33794444444444444,-0.33794444444444444,20-35,Medium,0.261096,-0.9731300633367195,-0.1877222222222223
